Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-20T08:36:19.683Z,"""","""",""Free"",""auto"",""No"",""0"",""69951"",""7680"",""526"",""78157"",""Free"""
"2026-04-20T08:31:36.705Z,"""","""",""Free"",""auto"",""No"",""0"",""69174"",""7680"",""438"",""77292"",""Free"""
"2026-04-20T08:24:56.787Z,"""","""",""Free"",""auto"",""No"",""0"",""134126"",""1148672"",""5779"",""1288577"",""Free"""
"2026-04-20T08:17:27.520Z,"""","""",""Free"",""auto"",""No"",""0"",""55185"",""70656"",""1540"",""127381"",""Free"""
"2026-04-20T08:15:30.373Z,"""","""",""Free"",""auto"",""No"",""0"",""2347"",""55936"",""341"",""58624"",""Free"""
"2026-04-20T08:14:24.590Z,"""","""",""Free"",""auto"",""No"",""0"",""50044"",""63616"",""1102"",""114762"",""Free"""
"2026-04-20T07:59:43.093Z,"""","""",""Free"",""auto"",""No"",""0"",""47019"",""330880"",""2553"",""380452"",""Free"""
"2026-04-20T07:53:41.529Z,"""","""",""Free"",""auto"",""No"",""0"",""120277"",""4608"",""18"",""124903"",""Free"""
"2026-04-17T10:45:00.554Z,"""","""",""Free"",""auto"",""No"",""0"",""917"",""169984"",""596"",""171497"",""Free"""
"2026-04-17T10:39:15.654Z,"""","""",""Free"",""auto"",""No"",""0"",""24015"",""151424"",""1393"",""176832"",""Free"""
"2026-04-17T10:38:55.278Z,"""","""",""Free"",""auto"",""No"",""0"",""8760"",""376320"",""1808"",""386888"",""Free"""
"2026-04-17T10:37:58.959Z,"""","""",""Free"",""auto"",""No"",""0"",""16062"",""230528"",""2528"",""249118"",""Free"""
"2026-04-17T10:36:36.101Z,"""","""",""Free"",""auto"",""No"",""0"",""44111"",""7680"",""213"",""52004"",""Free"""
"2026-04-17T10:36:19.113Z,"""","""",""Free"",""auto"",""No"",""0"",""1639"",""168832"",""378"",""170849"",""Free"""
"2026-04-17T10:33:40.727Z,"""","""",""Free"",""auto"",""No"",""0"",""1225"",""167936"",""338"",""169499"",""Free"""
"2026-04-17T10:32:55.347Z,"""","""",""Free"",""auto"",""No"",""0"",""88003"",""338560"",""3443"",""430006"",""Free"""
"2026-04-17T10:32:37.213Z,"""","""",""Free"",""auto"",""No"",""0"",""1781"",""504320"",""549"",""506650"",""Free"""
"2026-04-17T10:31:05.362Z,"""","""",""Free"",""auto"",""No"",""0"",""31616"",""95744"",""2573"",""129933"",""Free"""
"2026-04-17T10:27:13.075Z,"""","""",""Free"",""auto"",""No"",""0"",""571"",""167296"",""208"",""168075"",""Free"""
"2026-04-17T10:26:46.346Z,"""","""",""Free"",""auto"",""No"",""0"",""550"",""166912"",""180"",""167642"",""Free"""
"2026-04-17T10:25:26.304Z,"""","""",""Free"",""auto"",""No"",""0"",""13826"",""651008"",""500"",""665334"",""Free"""
"2026-04-17T10:22:19.882Z,"""","""",""Free"",""auto"",""No"",""0"",""25726"",""771584"",""4412"",""801722"",""Free"""
"2026-04-17T10:20:29.539Z,"""","""",""Free"",""auto"",""No"",""0"",""147960"",""449920"",""2268"",""600148"",""Free"""
"2026-04-17T10:02:45.718Z,"""","""",""Free"",""auto"",""No"",""0"",""3407"",""545792"",""481"",""549680"",""Free"""
"2026-04-17T10:02:07.994Z,"""","""",""Free"",""auto"",""No"",""0"",""983"",""270208"",""171"",""271362"",""Free"""
"2026-04-17T10:01:38.578Z,"""","""",""Free"",""auto"",""No"",""0"",""20642"",""114304"",""344"",""135290"",""Free"""
"2026-04-17T09:58:14.705Z,"""","""",""Free"",""auto"",""No"",""0"",""126723"",""523264"",""2124"",""652111"",""Free"""
"2026-04-17T09:40:24.673Z,"""","""",""Free"",""auto"",""No"",""0"",""107099"",""235008"",""688"",""342795"",""Free"""
"2026-04-17T09:27:41.250Z,"""","""",""Free"",""auto"",""No"",""0"",""5147"",""444160"",""476"",""449783"",""Free"""
"2026-04-17T09:23:42.391Z,"""","""",""Free"",""auto"",""No"",""0"",""9051"",""657792"",""3242"",""670085"",""Free"""
"2026-04-17T09:21:15.403Z,"""","""",""Free"",""auto"",""No"",""0"",""103817"",""328704"",""464"",""432985"",""Free"""
"2026-04-17T09:19:24.199Z,"""","""",""Free"",""auto"",""No"",""0"",""98976"",""221824"",""1206"",""322006"",""Free"""
"2026-04-17T09:17:55.235Z,"""","""",""Free"",""auto"",""No"",""0"",""2086"",""313600"",""2666"",""318352"",""Free"""
"2026-04-17T09:09:37.332Z,"""","""",""Free"",""auto"",""No"",""0"",""2240"",""409728"",""409"",""412377"",""Free"""
"2026-04-17T09:09:14.874Z,"""","""",""Free"",""auto"",""No"",""0"",""1167"",""100864"",""172"",""102203"",""Free"""
"2026-04-17T09:06:18.219Z,"""","""",""Free"",""auto"",""No"",""0"",""4025"",""302336"",""1688"",""308049"",""Free"""
"2026-04-17T09:04:47.085Z,"""","""",""Free"",""auto"",""No"",""0"",""27356"",""126848"",""465"",""154669"",""Free"""
"2026-04-17T09:01:49.867Z,"""","""",""Free"",""auto"",""No"",""0"",""107749"",""292864"",""661"",""401274"",""Free"""
"2026-04-17T08:52:00.884Z,"""","""",""Free"",""auto"",""No"",""0"",""23730"",""1279232"",""3575"",""1306537"",""Free"""
"2026-04-17T08:48:59.617Z,"""","""",""Free"",""auto"",""No"",""0"",""73920"",""6656"",""1408"",""81984"",""Free"""
"2026-04-17T08:47:30.882Z,"""","""",""Free"",""auto"",""No"",""0"",""75304"",""230400"",""1609"",""307313"",""Free"""
"2026-04-17T08:43:57.657Z,"""","""",""Free"",""auto"",""No"",""0"",""2766"",""292352"",""3073"",""298191"",""Free"""
"2026-04-17T08:40:13.636Z,"""","""",""Free"",""auto"",""No"",""0"",""2106"",""141184"",""107"",""143397"",""Free"""
"2026-04-17T08:37:30.582Z,"""","""",""Free"",""auto"",""No"",""0"",""2657"",""210304"",""778"",""213739"",""Free"""
"2026-04-17T08:36:08.778Z,"""","""",""Free"",""auto"",""No"",""0"",""7868"",""273408"",""1259"",""282535"",""Free"""
"2026-04-17T08:29:40.204Z,"""","""",""Free"",""auto"",""No"",""0"",""67183"",""538112"",""2248"",""607543"",""Free"""
"2026-04-17T08:28:57.431Z,"""","""",""Free"",""auto"",""No"",""0"",""51493"",""136704"",""343"",""188540"",""Free"""
"2026-04-17T08:16:32.424Z,"""","""",""Free"",""auto"",""No"",""0"",""23058"",""728576"",""1422"",""753056"",""Free"""
"2026-04-17T08:09:08.565Z,"""","""",""Free"",""auto"",""No"",""0"",""84602"",""437760"",""1891"",""524253"",""Free"""
"2026-04-17T07:45:48.565Z,"""","""",""Free"",""auto"",""No"",""0"",""54217"",""7680"",""472"",""62369"",""Free"""
"2026-04-17T07:29:18.941Z,"""","""",""Free"",""auto"",""No"",""0"",""438"",""60800"",""487"",""61725"",""Free"""
"2026-04-17T07:21:20.227Z,"""","""",""Free"",""auto"",""No"",""0"",""8538"",""52352"",""132"",""61022"",""Free"""
"2026-04-17T07:10:17.056Z,"""","""",""Free"",""auto"",""No"",""0"",""83085"",""385152"",""1704"",""469941"",""Free"""
"2026-04-17T07:01:13.143Z,"""","""",""Free"",""auto"",""No"",""0"",""39603"",""1054464"",""8007"",""1102074"",""Free"""
"2026-04-17T06:56:01.585Z,"""","""",""Free"",""auto"",""No"",""0"",""5576"",""76160"",""1660"",""83396"",""Free"""
"2026-04-17T06:54:39.339Z,"""","""",""Free"",""auto"",""No"",""0"",""12764"",""82816"",""1967"",""97547"",""Free"""
"2026-04-17T06:53:14.597Z,"""","""",""Free"",""auto"",""No"",""0"",""5517"",""46080"",""489"",""52086"",""Free"""
"2026-04-17T06:42:58.758Z,"""","""",""Free"",""auto"",""No"",""0"",""24241"",""108288"",""2748"",""135277"",""Free"""
"2026-04-16T16:00:19.934Z,"""","""",""Free"",""auto"",""No"",""0"",""23831"",""257024"",""4113"",""284968"",""Free"""
"2026-04-16T15:57:54.190Z,"""","""",""Free"",""auto"",""No"",""0"",""3168"",""223744"",""846"",""227758"",""Free"""
"2026-04-16T15:56:13.050Z,"""","""",""Free"",""auto"",""No"",""0"",""1418"",""285184"",""203"",""286805"",""Free"""
"2026-04-16T15:53:50.025Z,"""","""",""Free"",""auto"",""No"",""0"",""1527"",""53760"",""723"",""56010"",""Free"""
"2026-04-16T15:48:37.769Z,"""","""",""Free"",""auto"",""No"",""0"",""6253"",""173056"",""2694"",""182003"",""Free"""
"2026-04-16T15:47:26.354Z,"""","""",""Free"",""auto"",""No"",""0"",""51026"",""976896"",""18411"",""1046333"",""Free"""
"2026-04-16T15:45:08.695Z,"""","""",""Free"",""auto"",""No"",""0"",""22508"",""386560"",""6930"",""415998"",""Free"""
"2026-04-16T15:43:37.342Z,"""","""",""Free"",""auto"",""No"",""0"",""8160"",""646656"",""3052"",""657868"",""Free"""
"2026-04-16T15:42:13.100Z,"""","""",""Free"",""auto"",""No"",""0"",""6340"",""100864"",""1827"",""109031"",""Free"""
"2026-04-16T15:38:21.887Z,"""","""",""Free"",""auto"",""No"",""0"",""9368"",""308224"",""2892"",""320484"",""Free"""
"2026-04-16T15:36:30.213Z,"""","""",""Free"",""auto"",""No"",""0"",""2124"",""267264"",""320"",""269708"",""Free"""
"2026-04-16T15:36:12.492Z,"""","""",""Errored, No Charge"",""auto"",""No"",""0"",""697"",""15872"",""0"",""16569"",""Free"""
"2026-04-16T15:35:19.411Z,"""","""",""Free"",""auto"",""No"",""0"",""6581"",""65536"",""1284"",""73401"",""Free"""
"2026-04-16T15:33:46.395Z,"""","""",""Free"",""auto"",""No"",""0"",""3313"",""101376"",""506"",""105195"",""Free"""
"2026-04-16T15:33:24.211Z,"""","""",""Free"",""auto"",""No"",""0"",""16537"",""1096192"",""7167"",""1119896"",""Free"""
"2026-04-16T15:29:06.709Z,"""","""",""Free"",""auto"",""No"",""0"",""10757"",""678912"",""5789"",""695458"",""Free"""
"2026-04-16T15:28:19.523Z,"""","""",""Free"",""auto"",""No"",""0"",""1530"",""0"",""1247"",""2777"",""Free"""
"2026-04-16T15:25:42.292Z,"""","""",""Free"",""auto"",""No"",""0"",""10711"",""343552"",""6967"",""361230"",""Free"""
"2026-04-16T15:24:22.795Z,"""","""",""Free"",""auto"",""No"",""0"",""1868"",""258048"",""294"",""260210"",""Free"""
"2026-04-16T15:22:05.590Z,"""","""",""Free"",""auto"",""No"",""0"",""30136"",""459264"",""8454"",""497854"",""Free"""
"2026-04-16T15:21:39.668Z,"""","""",""Free"",""auto"",""No"",""0"",""14836"",""504832"",""7569"",""527237"",""Free"""
"2026-04-16T15:20:21.915Z,"""","""",""Free"",""auto"",""No"",""0"",""6473"",""128000"",""497"",""134970"",""Free"""
"2026-04-16T15:19:41.996Z,"""","""",""Free"",""auto"",""No"",""0"",""10400"",""62464"",""730"",""73594"",""Free"""
"2026-04-16T15:18:43.445Z,"""","""",""Free"",""auto"",""No"",""0"",""2129"",""199680"",""311"",""202120"",""Free"""
"2026-04-16T15:15:41.667Z,"""","""",""Free"",""auto"",""No"",""0"",""15438"",""257536"",""9635"",""282609"",""Free"""
"2026-04-16T15:14:00.502Z,"""","""",""Free"",""auto"",""No"",""0"",""6301"",""207872"",""1386"",""215559"",""Free"""
"2026-04-16T15:12:18.138Z,"""","""",""Free"",""auto"",""No"",""0"",""4792"",""215040"",""1678"",""221510"",""Free"""
"2026-04-16T15:08:38.805Z,"""","""",""Free"",""auto"",""No"",""0"",""28182"",""417280"",""10971"",""456433"",""Free"""
"2026-04-16T15:05:52.611Z,"""","""",""Free"",""auto"",""No"",""0"",""10652"",""382720"",""1700"",""395072"",""Free"""
"2026-04-16T15:04:45.307Z,"""","""",""Free"",""auto"",""No"",""0"",""461"",""111872"",""245"",""112578"",""Free"""
"2026-04-16T15:04:18.793Z,"""","""",""Free"",""auto"",""No"",""0"",""6821"",""235264"",""565"",""242650"",""Free"""
"2026-04-16T15:03:17.998Z,"""","""",""Free"",""auto"",""No"",""0"",""10492"",""325504"",""222"",""336218"",""Free"""
"2026-04-16T15:02:44.160Z,"""","""",""Free"",""auto"",""No"",""0"",""11962"",""281728"",""1612"",""295302"",""Free"""
"2026-04-16T15:02:22.329Z,"""","""",""Free"",""auto"",""No"",""0"",""10077"",""427776"",""1185"",""439038"",""Free"""
"2026-04-16T15:02:06.158Z,"""","""",""Free"",""auto"",""No"",""0"",""5763"",""104320"",""547"",""110630"",""Free"""
"2026-04-16T15:00:23.055Z,"""","""",""Free"",""auto"",""No"",""0"",""1192"",""101248"",""143"",""102583"",""Free"""
"2026-04-16T14:59:30.139Z,"""","""",""Free"",""auto"",""No"",""0"",""55721"",""268800"",""2816"",""327337"",""Free"""
"2026-04-16T14:56:48.925Z,"""","""",""Free"",""auto"",""No"",""0"",""9861"",""187648"",""639"",""198148"",""Free"""
"2026-04-16T14:54:09.543Z,"""","""",""Free"",""auto"",""No"",""0"",""19892"",""444800"",""3891"",""468583"",""Free"""
"2026-04-16T14:51:48.294Z,"""","""",""Free"",""auto"",""No"",""0"",""17146"",""262144"",""1681"",""280971"",""Free"""
"2026-04-16T14:49:57.294Z,"""","""",""Free"",""auto"",""No"",""0"",""500"",""100864"",""156"",""101520"",""Free"""
"2026-04-16T14:49:12.582Z,"""","""",""Free"",""auto"",""No"",""0"",""1505"",""200832"",""139"",""202476"",""Free"""
"2026-04-16T14:48:20.786Z,"""","""",""Free"",""auto"",""No"",""0"",""3106"",""402176"",""994"",""406276"",""Free"""
"2026-04-16T14:47:13.179Z,"""","""",""Free"",""auto"",""No"",""0"",""16694"",""145152"",""1372"",""163218"",""Free"""
"2026-04-16T14:45:26.821Z,"""","""",""Free"",""auto"",""No"",""0"",""12023"",""86784"",""258"",""99065"",""Free"""
"2026-04-16T14:40:12.634Z,"""","""",""Free"",""auto"",""No"",""0"",""36317"",""542592"",""2071"",""580980"",""Free"""
"2026-04-16T14:39:58.258Z,"""","""",""Free"",""auto"",""No"",""0"",""11008"",""129024"",""992"",""141024"",""Free"""
"2026-04-16T14:39:38.950Z,"""","""",""Free"",""auto"",""No"",""0"",""686"",""85888"",""314"",""86888"",""Free"""
"2026-04-16T14:38:01.257Z,"""","""",""Free"",""auto"",""No"",""0"",""1801"",""84352"",""343"",""86496"",""Free"""
